PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12-76	chr12	26769248	26769510	+	1	NA	intron (ENST00000545235.1, intron 1 of 4)	protein_coding-intron (ENST00000242737.5, intron 2 of 5)	-31464	ENST00000541141.1	ENSG00000256640	ENST00000541141			ENSG00000256640			processed_pseudogene
chr12-227	chr12	48106203	48106465	+	1	NA	promoter-TSS (ENST00000448372.6)	protein_coding-promoter-TSS (ENST00000448372.6)	-54	ENST00000548288.5	ENSG00000152556	ENST00000642730			PFKM			protein_coding
chr9-32	chr9	137423070	137423332	+	1	NA	promoter-TSS (ENST00000340951.9)	protein_coding-promoter-TSS (ENST00000340951.9)	10	ENST00000460390.6	ENSG00000187609	ENST00000478350			EXD3			protein_coding
chr2-112	chr2	220225138	220225400	+	1	NA	intron (ENST00000432993.1, intron 1 of 3)	lncRNA-intron (ENST00000432993.1, intron 1 of 3)	97723	ENST00000438633.1	ENSG00000235337	ENST00000438633			ENSG00000235337			lncRNA
chr19-95	chr19	44002871	44003133	+	1	NA	promoter-TSS (ENST00000429154.7)	protein_coding-promoter-TSS (ENST00000429154.7)	24	ENST00000585632.5	ENSG00000159882	ENST00000589275			ZNF230			protein_coding
chrX-67	chrX	53714525	53714787	+	1	NA	Intergenic	Intergenic	-27904	ENST00000704102.1	ENSG00000086758	ENST00000218328			HUWE1			protein_coding
chr2-113	chr2	241762293	241762555	+	1	NA	intron (ENST00000486953.5, intron 3 of 3)	protein_coding-intron (ENST00000321264.9, intron 9 of 9)	-6684	ENST00000417267.1	ENSG00000234793	ENST00000417267			ENSG00000234793			lncRNA
chr13-13	chr13	114281260	114281522	+	1	NA	promoter-TSS (ENST00000351487.5)	protein_coding-promoter-TSS (ENST00000351487.5)	-210	ENST00000375299.8	ENSG00000169062	ENST00000474056			UPF3A			protein_coding
chr17-406	chr17	63741841	63742103	+	1	NA	promoter-TSS (ENST00000245865.10)	protein_coding-promoter-TSS (ENST00000245865.10)	14	ENST00000392950.9	ENSG00000266173	ENST00000577375			STRADA			protein_coding
chr9-114	chr9	131502849	131503111	+	1	NA	promoter-TSS (ENST00000341012.13)	protein_coding-promoter-TSS (ENST00000341012.13)	2	ENST00000448212.5	ENSG00000130714	ENST00000677216			POMT1			protein_coding
chr8-47	chr8	143382707	143382969	+	1	NA	TTS (ENST00000522899.1)	protein_coding-TTS (ENST00000522899.1)	3501	ENST00000522899.1	ENSG00000158106	ENST00000289013			RHPN1			protein_coding
chr6-9	chr6	36122233	36122495	+	1	NA	Intergenic	Intergenic	-5445	ENST00000476951.5	ENSG00000156711	ENST00000476951			MAPK13			protein_coding
chr7-9	chr7	101729466	101729728	+	1	NA	Intergenic	Intergenic	-86307	ENST00000437600.9	ENSG00000257923	ENST00000485792			CUX1			protein_coding
chr16-912	chr16	27364614	27364876	+	1	NA	TTS (ENST00000170630.6)	protein_coding-TTS (ENST00000170630.6)	9397	ENST00000563886.1	ENSG00000077238	ENST00000565915			IL4R			protein_coding
chr3-914	chr3	107796823	107797085	+	1	NA	intron (ENST00000443253.1, intron 3 of 3)	protein_coding-intron (ENST00000325805.13, intron 15 of 17)	-1637	ENST00000458347.1	ENSG00000114439	ENST00000413213			BBX			protein_coding
chr6-108	chr6	159726871	159727133	+	1	NA	promoter-TSS (ENST00000337387.4)	protein_coding-promoter-TSS (ENST00000337387.4)	4	ENST00000614346.4	ENSG00000146457	ENST00000631126			WTAP			protein_coding
chr20-10	chr20	47455238	47455500	+	1	NA	Intergenic	Intergenic	23641	ENST00000425552.1	ENSG00000234075	ENST00000425552			RPL35AP			processed_pseudogene
chr1-604	chr1	183719365	183719627	+	1	NA	intron (ENST00000304685.8, intron 1 of 18)	protein_coding-intron (ENST00000304685.8, intron 1 of 18)	-9256	ENST00000604110.1	ENSG00000270994	ENST00000604110			ENSG00000270994			processed_pseudogene
chr8-87	chr8	55886464	55886726	+	1	NA	intron (ENST00000520220.6, intron 1 of 12)	protein_coding-intron (ENST00000519728.6, intron 1 of 12)	6760	ENST00000520220.6	ENSG00000254087	ENST00000420292			LYN			protein_coding
chr16-367	chr16	2768679	2768941	+	1	NA	promoter-TSS (ENST00000574331.5)	protein_coding-promoter-TSS (ENST00000574331.5)	64	ENST00000576878.1	ENSG00000167978	ENST00000571372			SRRM2			protein_coding
chr7-108	chr7	143248932	143249194	+	1	NA	intron (ENST00000436038.5, intron 1 of 4)	protein_coding-intron (ENST00000436038.5, intron 1 of 4)	4970	ENST00000436038.5	ENSG00000197448	ENST00000494735			GSTK1			protein_coding
chr6-99	chr6	10383564	10383826	+	1	NA	Intergenic	Intergenic	-17113	ENST00000405921.2	ENSG00000216781	ENST00000405921			RPL7L1P20			processed_pseudogene
chr17-73	chr17	17237140	17237402	+	1	NA	promoter-TSS (ENST00000285071.9)	protein_coding-promoter-TSS (ENST00000285071.9)	-83	ENST00000389171.4	ENSG00000154803	ENST00000285071			FLCN			protein_coding
chr2-117	chr2	26721747	26722009	+	1	NA	intron (ENST00000302909.4, intron 1 of 1)	protein_coding-intron (ENST00000302909.4, intron 1 of 1)	29156	ENST00000302909.4	ENSG00000171303	ENST00000302909			KCNK3			protein_coding
chr13-17	chr13	21670895	21671157	+	1	NA	promoter-TSS (ENST00000382353.6)	protein_coding-promoter-TSS (ENST00000382353.6)	-47	ENST00000382353.6	ENSG00000102678	ENST00000382353			FGF9			protein_coding
chr12-118	chr12	124827756	124828018	+	1	NA	intron (ENST00000541661.5, intron 1 of 2)	protein_coding-intron (ENST00000261693.11, intron 1 of 12)	-10180	ENST00000544327.1	ENSG00000073060	ENST00000680982			SCARB1			protein_coding
chrX-23	chrX	52935133	52935395	+	1	NA	intron (ENST00000613284.1, intron 3 of 3)	protein_coding-intron (ENST00000613284.1, intron 3 of 3)	9308	ENST00000650740.1	ENSG00000286118	ENST00000650740			ENSG00000286118			lncRNA
chr19-293	chr19	35006398	35006660	+	1	NA	intron (ENST00000603669.5, intron 3 of 4)	protein_coding-intron (ENST00000317991.10, intron 1 of 19)	-3144	ENST00000599476.1	ENSG00000089351	ENST00000411896			GRAMD1A			protein_coding
chr1-119	chr1	228140076	228140338	+	1	NA	promoter-TSS (ENST00000312726.9)	protein_coding-promoter-TSS (ENST00000312726.9)	-21	ENST00000462807.5	ENSG00000143774	ENST00000484953			GUK1			protein_coding
chr8-71	chr8	126558244	126558506	+	1	NA	promoter-TSS (ENST00000652209.1)	protein_coding-promoter-TSS (ENST00000652209.1)	103	ENST00000304916.4	ENSG00000168672	ENST00000517458			LRATD2			protein_coding
chr7-99	chr7	56196348	56196610	+	1	NA	Intergenic	Intergenic	-18500	ENST00000647804.1	ENSG00000285670	ENST00000647804			ENSG00000285670			lncRNA
chr1-1834	chr1	234655598	234655860	+	1	NA	promoter-TSS (ENST00000449012.1)	lncRNA-promoter-TSS (ENST00000449012.1)	-55	ENST00000665192.1	ENSG00000228044	ENST00000449012			ENSG00000228044			lncRNA
chr7-536	chr7	130989445	130989707	+	1	NA	intron (ENST00000702866.1, intron 1 of 2)	lncRNA-intron (ENST00000423414.5, intron 1 of 3)	-47974	ENST00000702534.1	ENSG00000231721	ENST00000701173			LINC-PINT			lncRNA
chr6-428	chr6	149925958	149926220	+	1	NA	Intergenic	Intergenic	-2968	ENST00000479265.1	ENSG00000203722	ENST00000479265			RAET1G			protein_coding
chr16-187	chr16	2035796	2036058	+	1	NA	promoter-TSS (ENST00000564033.1)	protein_coding-promoter-TSS (ENST00000564033.1)	-54	ENST00000564033.1	ENSG00000065054	ENST00000565086			NHERF2			protein_coding
chr16-512	chr16	57417058	57417320	+	1	NA	Intergenic	Intergenic	3320	ENST00000616880.1	ENSG00000102970	ENST00000219244			CCL17			protein_coding
chr1-158	chr1	117434016	117434278	+	1	NA	intron (ENST00000449370.6, intron 1 of 8)	protein_coding-intron (ENST00000356554.7, intron 5 of 12)	13550	ENST00000449370.6	ENSG00000198162	ENST00000421535			MAN1A2			protein_coding
chr14-254	chr14	93206868	93207130	+	1	NA	promoter-TSS (ENST00000013070.11)	protein_coding-promoter-TSS (ENST00000013070.11)	30	ENST00000556566.1	ENSG00000170270	ENST00000306954			GON7			protein_coding
chr15-25	chr15	65365348	65365610	+	1	NA	intron (ENST00000327987.9, intron 2 of 13)	protein_coding-intron (ENST00000327987.9, intron 2 of 13)	-9107	ENST00000558354.5	ENSG00000174498	ENST00000558354			IGDCC3			protein_coding
chr9-713	chr9	33159137	33159399	+	1	NA	intron (ENST00000535206.5, intron 1 of 2)	protein_coding-intron (ENST00000379731.5, intron 1 of 5)	-7680	ENST00000654325.1	ENSG00000233554	ENST00000654325			B4GALT1-AS1			lncRNA
chr8-115	chr8	94991186	94991448	+	1	NA	intron (ENST00000697364.1, intron 3 of 10)	protein_coding-intron (ENST00000396111.6, intron 2 of 9)	-16464	ENST00000521219.2	ENSG00000253528	ENST00000521219			ENSG00000253528			processed_pseudogene
chr18-1	chr18	499500	499762	+	1	NA	intron (ENST00000582147.1, intron 1 of 8)	protein_coding-intron (ENST00000400256.5, intron 1 of 9)	1070	ENST00000400256.5	ENSG00000158270	ENST00000582147			COLEC12			protein_coding
chr17-2401	chr17	47521493	47521755	+	1	NA	Intergenic	Intergenic	-1318	ENST00000525007.5	ENSG00000141279	ENST00000534807			NPEPPS			protein_coding
chr17-266	chr17	58022644	58022906	+	1	NA	Intergenic	Intergenic	-15429	ENST00000578430.1	ENSG00000136450	ENST00000578430			SRSF1			protein_coding
chr17-411	chr17	80474629	80474891	+	1	NA	promoter-TSS (ENST00000535681.1)	protein_coding-promoter-TSS (ENST00000535681.1)	-60	ENST00000702524.1	ENSG00000290024	ENST00000702524			ENSG00000290024			lncRNA
chr6-95	chr6	139996545	139996807	+	1	NA	intron (ENST00000664620.1, intron 1 of 3)	lncRNA-intron (ENST00000456896.6, intron 1 of 3)	-5582	ENST00000666152.1	ENSG00000287820	ENST00000666152			ENSG00000287820			lncRNA
chr12-31	chr12	116495355	116495617	+	1	NA	intron (ENST00000659057.1, intron 1 of 2)	lncRNA-intron (ENST00000659057.1, intron 1 of 2)	13413	ENST00000659057.1	ENSG00000258018	ENST00000552992			LINC02457			lncRNA
chr22-7	chr22	25400861	25401123	+	1	NA	intron (ENST00000650500.2, intron 1 of 7)	lncRNA-intron (ENST00000444995.7, intron 1 of 6)	4282	ENST00000650500.2	ENSG00000100068	ENST00000650500			LRP5L			transcribed_unprocessed_pseudogene
chr16-366	chr16	2339908	2340170	+	1	NA	promoter-TSS (ENST00000469908.5)	lncRNA-promoter-TSS (ENST00000469908.5)	558	ENST00000563623.5	ENSG00000167972	ENST00000301732			ABCA3			protein_coding
chr11-246	chr11	1485980	1486242	+	1	NA	intron (ENST00000529380.1, intron 1 of 1)	protein_coding-intron (ENST00000329957.7, intron 1 of 4)	668	ENST00000329957.7	ENSG00000182208	ENST00000531976			MOB2			protein_coding
chr16-935	chr16	30558004	30558266	+	1	NA	promoter-TSS (ENST00000568333.1)	protein_coding-promoter-TSS (ENST00000568333.1)	76	ENST00000568333.1	ENSG00000169951	ENST00000568333			ZNF764			protein_coding
chr19-148	chr19	50804819	50805081	+	1	NA	promoter-TSS (ENST00000593287.5)	lncRNA-promoter-TSS (ENST00000593287.5)	-21	ENST00000641834.2	ENSG00000293495	ENST00000596554			C19orf48P			lncRNA
chr1-1398	chr1	43991464	43991726	+	1	NA	promoter-TSS (ENST00000372318.8)	protein_coding-promoter-TSS (ENST00000372318.8)	-4	ENST00000372318.8	ENSG00000159214	ENST00000460543			CCDC24			protein_coding
chr7-95	chr7	138951954	138952216	+	1	NA	intron (ENST00000440172.5, intron 1 of 19)	protein_coding-intron (ENST00000422774.2, intron 1 of 19)	29233	ENST00000440172.5	ENSG00000122778	ENST00000422774			KIAA1549			protein_coding
chr21-75	chr21	42893293	42893555	+	1	NA	intron (ENST00000460740.1, intron 1 of 1)	protein_coding-intron (ENST00000340344.4, intron 1 of 2)	103	ENST00000460740.1	ENSG00000160194	ENST00000460740			NDUFV3			protein_coding
chr9-473	chr9	95426639	95426901	+	1	NA	promoter-TSS (ENST00000433644.2)	protein_coding-promoter-TSS (ENST00000433644.2)	26	ENST00000433644.2	ENSG00000158169	ENST00000490972			FANCC			protein_coding
chr11-381	chr11	65382103	65382365	+	1	NA	promoter-TSS (ENST00000526259.5)	protein_coding-promoter-TSS (ENST00000526259.5)	139	ENST00000534028.5	ENSG00000162241	ENST00000534338			SLC25A45			protein_coding
chr8-322	chr8	98941855	98942117	+	1	NA	intron (ENST00000523960.1, intron 1 of 2)	protein_coding-intron (ENST00000519420.1, intron 1 of 1)	585	ENST00000523601.5	ENSG00000104375	ENST00000518582			STK3			protein_coding
chr20-84	chr20	48697846	48698108	+	1	NA	intron (ENST00000371941.4, intron 7 of 39)	protein_coding-intron (ENST00000371941.4, intron 7 of 39)	-5293	ENST00000620554.1	ENSG00000124126	ENST00000482556			PREX1			protein_coding
chr4-178	chr4	77158183	77158445	+	1	NA	promoter-TSS (ENST00000395640.5)	protein_coding-promoter-TSS (ENST00000395640.5)	17	ENST00000395640.5	ENSG00000138764	ENST00000509972			CCNG2			protein_coding
chr12-109	chr12	62260188	62260450	+	1	NA	promoter-TSS (ENST00000280377.10)	protein_coding-promoter-TSS (ENST00000280377.10)	-19	ENST00000353364.7	ENSG00000135655	ENST00000549415			USP15			protein_coding
chr16-194	chr16	14334895	14335157	+	1	NA	Intergenic	Intergenic	12506	ENST00000641327.1	ENSG00000262454	ENST00000641906			MIR193BHG			lncRNA
chr16-626	chr16	85480790	85481052	+	1	NA	intron (ENST00000637419.1, intron 2 of 2)	protein_coding-intron (ENST00000637419.1, intron 2 of 2)	-8892	ENST00000620845.1	ENSG00000278716	ENST00000620845			ENSG00000278716			lncRNA
chr1-404	chr1	109162369	109162631	+	1	NA	TTS (ENST00000533147.5)	protein_coding-TTS (ENST00000533147.5)	894	ENST00000533374.1	ENSG00000116299	ENST00000531664			ELAPOR1			protein_coding
chr14-42	chr14	73602210	73602472	+	1	NA	intron (ENST00000664243.1, intron 1 of 1)	lncRNA-intron (ENST00000664243.1, intron 1 of 1)	-8604	ENST00000554229.1	ENSG00000205669	ENST00000645972			ACOT6			protein_coding
chr13-68	chr13	44917864	44918126	+	1	NA	Intergenic	Intergenic	71476	ENST00000379161.5	ENSG00000083635	ENST00000379161			NUFIP1			protein_coding
chr2-255	chr2	119759322	119759584	+	1	NA	promoter-TSS (ENST00000263708.7)	protein_coding-promoter-TSS (ENST00000263708.7)	-469	ENST00000263708.7	ENSG00000088179	ENST00000488279			PTPN4			protein_coding
chr15-38	chr15	70324262	70324524	+	1	NA	intron (ENST00000558226.1, intron 1 of 1)	lncRNA-intron (ENST00000558226.1, intron 1 of 1)	2817	ENST00000558226.1	ENSG00000259503	ENST00000558226			ENSG00000259503			lncRNA
chr15-434	chr15	96354372	96354634	+	1	NA	exon (ENST00000558382.2, exon 1 of 2)	lncRNA-exon (ENST00000558382.2, exon 1 of 2)	113	ENST00000558499.2	ENSG00000259275	ENST00000668783			ENSG00000259275			lncRNA
chr14-43	chr14	77007970	77008232	+	1	NA	Intergenic	Intergenic	-7492	ENST00000647580.1	ENSG00000285966	ENST00000647580			ENSG00000285966			lncRNA
chr8-23	chr8	98046116	98046378	+	1	NA	promoter-TSS (ENST00000287038.8)	protein_coding-promoter-TSS (ENST00000287038.8)	222	ENST00000521726.1	ENSG00000156482	ENST00000522156			RPL30			protein_coding
chr17-157	chr17	19724538	19724800	+	1	NA	Intergenic	Intergenic	5610	ENST00000577087.2	ENSG00000262681	ENST00000577087			ENSG00000262681			lncRNA
chrX-71	chrX	134919116	134919378	+	1	NA	promoter-TSS (ENST00000384353.1)	snRNA-promoter-TSS (ENST00000384353.1)	-831	ENST00000384353.1	ENSG00000207081	ENST00000384353			RNU6-616P			snRNA
chr2-316	chr2	24793225	24793487	+	1	NA	promoter-TSS (ENST00000260662.2)	protein_coding-promoter-TSS (ENST00000260662.2)	35	ENST00000328379.6	ENSG00000184924	ENST00000467797			PTRHD1			protein_coding
chr3-41	chr3	157160076	157160338	+	1	NA	promoter-TSS (ENST00000295925.5)	protein_coding-promoter-TSS (ENST00000295925.5)	-29	ENST00000477127.5	ENSG00000163660	ENST00000476744			CCNL1			protein_coding
chr6-310	chr6	52918122	52918384	+	1	NA	Intergenic	Intergenic	-8555	ENST00000211122.4	ENSG00000174156	ENST00000211122			GSTA3			protein_coding
chr12-50	chr12	52972065	52972327	+	1	NA	Intergenic	Intergenic	20454	ENST00000548496.1	ENSG00000111057	ENST00000388837			KRT18			protein_coding
chr5-70	chr5	177351558	177351820	+	1	NA	promoter-TSS (ENST00000303127.12)	protein_coding-promoter-TSS (ENST00000303127.12)	-13	ENST00000694905.1	ENSG00000169223	ENST00000514458			LMAN2			protein_coding
chr14-361	chr14	100025244	100025506	+	1	NA	intron (ENST00000544450.6, intron 1 of 10)	protein_coding-intron (ENST00000402714.6, intron 1 of 13)	5799	ENST00000554460.5	ENSG00000196405	ENST00000554695			EVL			protein_coding
chr17-1472	chr17	49361307	49361569	+	1	NA	promoter-TSS (ENST00000507337.2)	lncRNA-promoter-TSS (ENST00000507337.2)	249	ENST00000510360.6	ENSG00000248714	ENST00000502823			ZNF652-AS1			lncRNA
chr12-113	chr12	113246611	113246873	+	1	NA	intron (ENST00000551099.5, intron 3 of 3)	protein_coding-intron (ENST00000335509.11, intron 2 of 27)	2239	ENST00000428632.7	ENSG00000186815	ENST00000549279			TPCN1			protein_coding
chr14-47	chr14	103628221	103628483	+	1	NA	promoter-TSS (ENST00000246489.11)	protein_coding-promoter-TSS (ENST00000246489.11)	-825	ENST00000348520.10	ENSG00000126214	ENST00000445352			KLC1			protein_coding
chr9-180	chr9	131545340	131545602	+	1	NA	promoter-TSS (ENST00000636672.2)	protein_coding-promoter-TSS (ENST00000636672.2)	-52	ENST00000636672.2	ENSG00000283526	ENST00000636672			PRRT1B			protein_coding
chr16-4	chr16	71808836	71809098	+	1	NA	promoter-TSS (ENST00000299980.9)	protein_coding-promoter-TSS (ENST00000299980.9)	15	ENST00000565009.5	ENSG00000166747	ENST00000565009			AP1G1			protein_coding
chr8-67	chr8	99893579	99893841	+	1	NA	promoter-TSS (ENST00000297564.6)	protein_coding-promoter-TSS (ENST00000297564.6)	-3	ENST00000520468.7	ENSG00000164919	ENST00000520517			COX6C			protein_coding
chr20-1317	chr20	41344624	41344886	+	1	NA	intron (ENST00000632009.1, intron 1 of 19)	protein_coding-intron (ENST00000373257.8, intron 1 of 19)	3783	ENST00000632009.1	ENSG00000132793	ENST00000496565			LPIN3			protein_coding
chr19-390	chr19	42216719	42216981	+	1	NA	exon (ENST00000336034.8, exon 2 of 5)	protein_coding-exon (ENST00000336034.8, exon 2 of 5)	819	ENST00000336034.8	ENSG00000160570	ENST00000593804			DEDD2			protein_coding
chrX-47	chrX	154762800	154763062	+	1	NA	promoter-TSS (ENST00000369550.10)	protein_coding-promoter-TSS (ENST00000369550.10)	12	ENST00000696584.1	ENSG00000130826	ENST00000696581			DKC1			protein_coding
chr15-260	chr15	53072287	53072549	+	1	NA	intron (ENST00000692805.1, intron 1 of 1)	lncRNA-intron (ENST00000692805.1, intron 1 of 1)	37248	ENST00000692805.1	ENSG00000259237	ENST00000692805			LINC02490			lncRNA
chr4-8	chr4	55545815	55546077	+	1	NA	promoter-TSS (ENST00000381322.5)	protein_coding-promoter-TSS (ENST00000381322.5)	-14	ENST00000381322.5	ENSG00000134852	ENST00000435527			CLOCK			protein_coding
chr17-2664	chr17	75485639	75485901	+	1	NA	promoter-TSS (ENST00000580441.5)	protein_coding-promoter-TSS (ENST00000580441.5)	374	ENST00000584383.1	ENSG00000177728	ENST00000581723			TMEM94			protein_coding
chr1-293	chr1	229148183	229148445	+	1	NA	intron (ENST00000666388.1, intron 2 of 2)	lncRNA-intron (ENST00000662083.1, intron 1 of 4)	35781	ENST00000662083.1	ENSG00000236975	ENST00000658958			LINC02814			lncRNA
chr1-23	chr1	114511295	114511557	+	1	NA	promoter-TSS (ENST00000358465.7)	protein_coding-promoter-TSS (ENST00000358465.7)	-223	ENST00000358465.7	ENSG00000197323	ENST00000448034			TRIM33			protein_coding
chr9-313	chr9	137173180	137173442	+	1	NA	Intergenic	Intergenic	-1255	ENST00000413619.3	ENSG00000185863	ENST00000413619			TMEM210			protein_coding
chr7-182	chr7	103149036	103149298	+	1	NA	promoter-TSS (ENST00000341533.8)	protein_coding-promoter-TSS (ENST00000341533.8)	15	ENST00000417955.5	ENSG00000161048	ENST00000414118			NAPEPLD			protein_coding
chr15-41	chr15	74817378	74817640	+	1	NA	TTS (ENST00000562810.5)	protein_coding-TTS (ENST00000562810.5)	1286	ENST00000488000.6	ENSG00000261606	ENST00000564823			ENSG00000261606			lncRNA
chr11-157	chr11	62665198	62665460	+	1	NA	promoter-TSS (ENST00000383870.1)	snoRNA-promoter-TSS (ENST00000383870.1)	-7	ENST00000594728.1	ENSG00000214756	ENST00000398922			CSKMT			protein_coding
chr10-361	chr10	21495444	21495706	+	1	NA	TTS (ENST00000410139.1)	miRNA-TTS (ENST00000410139.1)	1066	ENST00000410139.1	ENSG00000222071	ENST00000410139			MIR1915			miRNA
chr5-289	chr5	179818898	179819160	+	1	NA	promoter-TSS (ENST00000481335.5)	protein_coding-promoter-TSS (ENST00000481335.5)	62	ENST00000481335.5	ENSG00000161011	ENST00000389805			SQSTM1			protein_coding
chr11-202	chr11	85030075	85030337	+	1	NA	intron (ENST00000706226.1, intron 5 of 26)	protein_coding-intron (ENST00000376104.7, intron 6 of 27)	-8551	ENST00000525816.1	ENSG00000213305	ENST00000525816			HNRNPCP6			processed_pseudogene
chr9-57	chr9	107819749	107820011	+	1	NA	Intergenic	Intergenic	-7966	ENST00000483093.3	ENSG00000244104	ENST00000483093			RN7SL659P			misc_RNA
chr2-490	chr2	175167745	175168007	+	1	NA	promoter-TSS (ENST00000401154.1)	miRNA-promoter-TSS (ENST00000401154.1)	-28	ENST00000449168.1	ENSG00000229750	ENST00000449168			ENSG00000229750			lncRNA
chr7-207	chr7	100049686	100049948	+	1	NA	promoter-TSS (ENST00000292450.9)	protein_coding-promoter-TSS (ENST00000292450.9)	23	ENST00000438937.1	ENSG00000166529	ENST00000477297			ZSCAN21			protein_coding
chr13-2	chr13	73133570	73133832	+	1	NA	Intergenic	Intergenic	-20683	ENST00000363397.1	ENSG00000200267	ENST00000363397			RNU6-66P			snRNA
